,actor_id,time_zone
606,24743,-8
607,24747,-8
608,24796,-8
609,24827,-5
610,24913,-5
611,24919,-5
612,24973,-8
613,24979,-8
614,25046,-4
615,25086,-8
616,25113,-8
617,25117,2
618,25126,-2
619,25185,-1
620,25218,-8
621,25278,2
622,25395,-3
623,25402,-8
624,25405,-4
625,25412,2
626,25432,-8
627,25433,-8
628,25441,-8
629,25507,-8
630,25510,-8
631,25610,-2
632,25666,3
633,25688,-8
634,25765,-3
635,25774,-8
636,25829,2
637,25916,-8
638,25943,-2
639,25961,-4
640,26102,-8
641,26195,-8
642,26245,2
643,26336,-8
644,26408,5
645,26463,4
646,26471,-8
647,26554,-4
648,26596,5
649,26626,-8
650,26695,-8
651,26697,2
652,26721,-7
653,26739,-8
654,26936,-8
655,26967,-8
656,27003,-8
657,27009,4
658,27145,-8
659,27146,6
660,27158,-8
661,27159,-8
662,27317,0
663,27350,-8
664,27389,-8
665,27447,3
666,27475,-3
667,27497,0
668,27509,-2
669,27575,-3
670,27624,-8
671,27658,-8
672,27659,1
673,27712,-2
674,27732,-5
675,27770,-8
676,27786,1
677,27943,-8
678,27985,3
679,27990,-8
680,28003,-3
681,28005,-3
682,28052,1
683,28173,-8
684,28323,-3
685,28444,5
686,28534,-8
687,28604,3
688,28612,-3
689,28623,-8
690,28652,-8
691,28673,-8
692,28734,-1
693,28739,-8
694,28797,6
695,28851,4
696,28969,-8
697,28991,-2
698,29195,-8
699,29233,-8
700,29282,-8
701,29363,-8
702,29376,4
703,29457,-2
704,29482,-5
705,29564,3
706,29596,-2
707,29597,4
708,29690,-8
709,29785,-5
710,29850,5
711,29852,-4
712,30010,-4
713,30030,-8
714,30094,0
715,30140,-7
716,30171,-8
717,30236,2
718,30298,-8
719,30430,-8
720,30491,-2
721,30503,-8
722,30604,-8
723,30607,-3
724,30665,-2
725,30699,4
726,30707,5
727,30848,-4
728,30938,-8
729,30984,-4
730,31017,-2
731,31215,-1
732,31331,-8
733,31462,-8
734,31516,6
735,31533,-8
736,31617,-8
737,31622,-1
738,31692,-3
739,31790,-3
740,31809,-5
741,31819,-4
742,31896,2
743,31996,-8
744,32125,2
745,32185,5
746,32212,-5
747,32290,3
748,32314,5
